Date;N1;N2;N3;N4;N5;E1;E2;Winner;Gain
2004-01-10;2;4;31;17;1;9;3;0;0
2004-01-10;19;28;45;15;34;12;10;0;0
2004-01-10;20;5;50;38;48;1;4;0;0
2004-01-10;8;33;50;48;13;12;1;0;0
2004-01-10;48;20;45;21;12;6;5;1;29785269
2004-02-13;42;7;20;27;15;10;3;0;0
2004-02-13;25;26;21;15;32;10;11;0;0
2004-02-13;16;23;22;39;24;11;2;0;0
2004-02-13;34;27;26;17;21;7;8;0;0
2004-02-13;32;16;29;41;36;9;7;1;15000000
2004-04-06;10;46;38;8;11;12;8;0;0
2004-04-06;15;23;34;17;5;3;5;0;0
2004-04-06;18;13;19;44;25;5;3;0;0
2004-04-06;39;44;11;17;36;3;5;0;0
2004-04-06;41;42;34;13;9;7;3;1;12488171
2004-05-03;36;50;49;12;34;3;5;0;0
2004-05-03;39;22;6;19;11;4;3;0;0
2004-05-03;36;1;28;30;25;7;9;0;0
2004-05-03;47;2;16;20;29;6;9;0;0
2004-05-03;39;37;4;7;33;5;1;1;20678070
2004-05-14;33;1;39;14;30;7;1;0;0
2004-05-14;15;39;12;36;20;10;12;0;0
2004-05-14;4;2;30;50;46;4;6;0;0
2004-05-14;20;42;33;39;9;4;5;0;0
2004-05-14;32;3;1;39;21;2;6;1;33816137
2004-05-21;42;32;43;27;28;9;1;0;0
2004-05-21;1;29;33;40;22;2;7;0;0
2004-05-21;17;11;6;4;26;3;10;0;0
2004-05-21;46;40;44;10;9;5;11;0;0
2004-05-21;37;39;29;15;49;4;9;1;10000000
2004-06-08;39;45;27;41;4;11;1;0;0
2004-06-08;11;1;2;43;21;12;10;0;0
2004-06-08;45;49;21;39;41;6;10;0;0
2004-06-08;19;13;2;23;14;6;7;0;0
2004-06-08;5;35;44;15;24;6;5;1;24746858
2004-06-18;33;6;20;12;13;10;4;0;0
2004-06-18;19;23;16;27;38;1;8;0;0
2004-06-18;34;31;37;44;8;4;2;0;0
