Date;N1;N2;N3;N4;N5;E1;E2;Winner;Gain;Result
2021-12-07;22;31;38;46;47;7;11;1;143000000;win
2021-12-07;23;24;29;37;42;03;11;0;0;lose
2021-12-07;08;09;27;35;41;02;04;0;0;lose
2021-12-07;05;13;33;39;42;04;10;0;0;lose
2021-12-07;11;13;28;37;43;03;06;0;0;lose
2021-12-03;21;22;29;32;46;9;10;0;130000000;win
2021-12-03;02;08;14;28;47;02;04;0;0;lose
2021-12-03;06;12;17;21;34;06;10;0;0;lose
2021-12-03;01;34;35;44;50;04;06;0;0;lose
2021-12-03;06;34;41;42;45;04;07;0;0;lose
2021-11-30;19;20;26;33;43;1;4;0;0;win
2021-11-30;14;24;32;44;47;02;07;0;0;lose
2021-11-30;12;22;28;32;34;05;06;0;0;lose
2021-11-30;05;12;27;39;50;03;05;0;0;lose
2021-11-30;08;10;25;31;46;05;10;0;0;lose
2021-11-26;1;20;41;42;50;3;7;1;163000000;win
2021-11-26;03;13;14;15;25;02;12;0;0;lose
2021-11-26;05;21;29;31;41;06;09;0;0;lose
2021-11-26;19;21;27;34;42;06;10;0;0;lose
2021-11-26;10;22;28;48;49;04;08;0;0;lose
2021-11-23;17;21;36;42;46;7;10;0;145000000;win
2021-11-23;05;11;22;32;47;09;12;0;0;lose
2021-11-23;02;10;21;38;40;04;10;0;0;lose
2021-11-23;07;08;13;28;47;10;11;0;0;lose
2021-11-23;12;14;30;35;39;08;11;0;0;lose
2021-11-19;22;26;38;47;50;2;6;0;131000000;win
2021-11-19;15;29;31;38;50;02;05;0;0;lose
2021-11-19;05;09;19;24;47;09;11;0;0;lose
2021-11-19;06;16;24;36;50;03;11;0;0;lose
2021-11-19;25;26;28;30;49;07;11;0;0;lose
2021-11-16;9;19;21;32;36;3;4;0;115000000;win
2021-11-16;08;27;40;45;46;01;08;0;0;lose
2021-11-16;16;18;28;36;37;02;12;0;0;lose
2021-11-16;16;17;36;38;42;03;04;0;0;lose
2021-11-16;04;10;19;23;28;01;12;0;0;lose
2021-11-12;2;9;15;47;50;6;9;0;104000000;win
2021-11-12;04;18;22;36;40;02;09;0;0;lose
2021-11-12;04;12;13;19;48;11;12;0;0;lose
2021-11-12;01;04;07;36;43;09;12;0;0;lose
2021-11-12;02;20;25;30;38;06;09;0;0;lose
2021-11-09;17;25;26;33;36;1;8;0;89000000;win
